,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),AT (degree C),SR (W/mt2),RH (%),WS (m/s),WD (degree),BP (mmHg),RF (mm),SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),TOT-RF (mm)
4846,07-Jan-2022 - 22:00,07-Jan-2022 - 23:00,43.98,51.65,14.9,,98.66,0.2,161.08,750.0,0.0,3.1,4.81,0.66,5.46,41.03,1.02,1.29,0.0,,,,,,0.0
4847,07-Jan-2022 - 23:00,08-Jan-2022 - 00:00,38.62,47.15,14.68,,98.8,0.18,154.69,750.0,0.0,3.06,4.96,0.88,5.85,38.89,1.04,1.45,0.0,,,,,,0.0
4848,08-Jan-2022 - 00:00,08-Jan-2022 - 01:00,43.31,52.35,14.9,,99.0,0.26,150.74,750.0,0.0,2.87,4.91,1.16,6.07,42.18,1.04,1.72,0.0,,,,,,0.0
4849,08-Jan-2022 - 01:00,08-Jan-2022 - 02:00,40.27,51.8,14.82,,99.05,0.24,148.39,750.0,0.0,3.05,4.76,1.1,5.86,40.57,0.98,1.89,0.0,,,,,,0.0
4850,08-Jan-2022 - 02:00,08-Jan-2022 - 03:00,33.19,44.35,14.87,,99.15,0.17,113.37,750.0,0.0,3.02,5.04,1.51,6.55,38.79,1.02,1.81,0.0,,,,,,0.0
4851,08-Jan-2022 - 03:00,08-Jan-2022 - 04:00,35.68,44.85,14.97,,99.24,0.27,219.05,750.0,0.0,2.99,4.65,2.8,7.45,34.8,0.93,2.47,0.0,,,,,,0.0
4852,08-Jan-2022 - 04:00,08-Jan-2022 - 05:00,28.11,38.85,14.88,,99.24,0.27,197.82,750.0,0.0,2.99,5.21,2.49,7.7,35.05,0.95,1.46,0.0,,,,,,0.0
4853,08-Jan-2022 - 05:00,08-Jan-2022 - 06:00,24.68,33.45,14.73,,99.24,0.22,172.9,750.0,0.0,2.8,5.35,1.48,6.83,33.53,0.92,1.42,0.0,,,,,,0.0
4854,08-Jan-2022 - 06:00,08-Jan-2022 - 07:00,22.06,29.55,14.92,,99.34,0.23,155.12,750.0,0.03,2.94,5.93,2.47,8.41,38.89,0.89,1.56,0.0,,,,,,0.11
4855,08-Jan-2022 - 07:00,08-Jan-2022 - 08:00,32.33,40.0,15.34,2.0,99.43,0.39,164.86,750.0,0.08,3.06,5.25,9.27,14.53,39.16,0.82,4.52,0.0,,,,,,0.31
4856,08-Jan-2022 - 08:00,08-Jan-2022 - 09:00,34.03,42.95,15.68,13.78,99.3,0.69,174.38,750.0,0.01,3.35,3.83,7.47,11.3,40.17,0.72,19.8,0.0,,,,,,0.06
4857,08-Jan-2022 - 09:00,08-Jan-2022 - 10:00,22.63,31.25,16.13,30.59,96.82,0.76,189.94,750.0,0.01,4.01,2.63,6.8,9.44,39.27,0.62,25.94,0.0,,,,,,0.06
4858,08-Jan-2022 - 10:00,08-Jan-2022 - 11:00,67.91,25.6,16.87,53.72,94.59,0.41,169.64,750.0,0.01,3.25,2.78,5.75,8.54,38.7,0.75,11.59,0.0,,,,,,0.02
4859,08-Jan-2022 - 11:00,08-Jan-2022 - 12:00,17.64,23.4,18.73,162.31,88.27,0.47,242.45,750.0,0.0,3.47,3.0,7.73,10.73,38.71,0.78,16.84,0.0,,,,,,0.0
4860,08-Jan-2022 - 12:00,08-Jan-2022 - 13:00,30.39,34.75,19.81,135.22,83.83,0.33,170.57,750.0,0.0,3.43,2.77,8.34,11.11,38.65,0.73,21.98,0.0,,,,,,0.0
4861,08-Jan-2022 - 13:00,08-Jan-2022 - 14:00,24.66,30.1,20.21,199.51,82.23,0.39,132.78,750.0,0.0,4.29,2.66,7.49,10.15,33.75,0.65,23.68,0.0,,,,,,0.0
4862,08-Jan-2022 - 14:00,08-Jan-2022 - 15:00,,,,,,,,,0.0,,1.07,6.78,3.92,30.63,0.14,47.36,0.0,,,,,,0.0
4863,08-Jan-2022 - 15:00,08-Jan-2022 - 16:00,,22.65,18.76,31.18,88.43,0.73,233.36,750.0,0.16,3.83,1.7,3.68,4.05,28.81,0.16,42.27,0.0,,,,,,0.65
4864,08-Jan-2022 - 16:00,08-Jan-2022 - 17:00,15.75,25.1,17.43,8.6,95.2,0.4,198.4,750.0,0.85,4.09,2.44,3.51,5.95,44.1,0.32,20.11,0.0,,,,,,3.41
4865,08-Jan-2022 - 17:00,08-Jan-2022 - 18:00,16.59,22.2,16.98,4.87,97.1,0.37,163.52,750.0,0.65,3.63,2.54,4.86,7.4,35.6,0.38,16.8,0.0,,,,,,2.6
