,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),AT (degree C),Temp (degree C),SR (W/mt2),RH (%),WS (m/s),WD (degree),BP (mmHg),RF (mm),SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Eth-Benzene,MP-Xylene,O Xylene,Toluene (ug/m3),VWS (m/s),TOT-RF (mm)
51,23-Jul-2019 - 03:00,23-Jul-2019 - 04:00,,,,,,,,,,,,,,,,,,,,,,,0.0
52,23-Jul-2019 - 04:00,23-Jul-2019 - 05:00,,,,,,,,,,,,,,,,,,,,,,,0.0
53,23-Jul-2019 - 05:00,23-Jul-2019 - 06:00,,,,,,,,,,,,,,,,,,,,,,,0.0
54,23-Jul-2019 - 06:00,23-Jul-2019 - 07:00,,,,,,,,,,,,,,,,,,,,,,,0.0
55,23-Jul-2019 - 07:00,23-Jul-2019 - 08:00,,,,,,,,,,,,,,,,,,,,,,,0.0
56,23-Jul-2019 - 08:00,23-Jul-2019 - 09:00,,,,,,,,,,,,,,,,,,,,,,,0.0
57,23-Jul-2019 - 09:00,23-Jul-2019 - 10:00,,,,,,,,,,,,,,,,,,,,,,,0.0
58,23-Jul-2019 - 10:00,23-Jul-2019 - 11:00,,,,,,,,,,,,,,,,,,,,,,,0.0
59,23-Jul-2019 - 11:00,23-Jul-2019 - 12:00,,,,,,,,,,,,,,,,,,,,,,,0.0
60,23-Jul-2019 - 12:00,23-Jul-2019 - 13:00,,,,,,,,,,,,,,,,,,,,,,,0.0
61,23-Jul-2019 - 13:00,23-Jul-2019 - 14:00,,,,,,,,,,,,,,,,,,,,,,,0.0
62,23-Jul-2019 - 14:00,23-Jul-2019 - 15:00,,,,,,,,,,,,,,,,,,,,,,,0.0
63,23-Jul-2019 - 15:00,23-Jul-2019 - 16:00,,,,,,,,,,,,,,,,,,,,,,,0.0
64,23-Jul-2019 - 16:00,23-Jul-2019 - 17:00,,,,,,,,,,,,,,,,,,,,,,,0.0
65,23-Jul-2019 - 17:00,23-Jul-2019 - 18:00,,,,,,,,,,,,,,,,,,,,,,,0.0
66,23-Jul-2019 - 18:00,23-Jul-2019 - 19:00,,,,,,,,,,,,,,,,,,,,,,,0.0
67,23-Jul-2019 - 19:00,23-Jul-2019 - 20:00,,,,,,,,,,,,,,,,,,,,,,,0.0
68,23-Jul-2019 - 20:00,23-Jul-2019 - 21:00,,,,,,,,,,,,,,,,,,,,,,,0.0
69,23-Jul-2019 - 21:00,23-Jul-2019 - 22:00,,,,,,,,,,,,,,,,,,,,,,,0.0
70,23-Jul-2019 - 22:00,23-Jul-2019 - 23:00,,,,,,,,,,,,,,,,,,,,,,,0.0
71,23-Jul-2019 - 23:00,24-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,0.0
72,24-Jul-2019 - 00:00,24-Jul-2019 - 01:00,,,,,,,,,,,,,,,,,,,,,,,0.0
73,24-Jul-2019 - 01:00,24-Jul-2019 - 02:00,,,,,,,,,,,,,,,,,,,,,,,0.0
74,24-Jul-2019 - 02:00,24-Jul-2019 - 03:00,,,,,,,,,,,,,,,,,,,,,,,0.0
75,24-Jul-2019 - 03:00,24-Jul-2019 - 04:00,,,,,,,,,,,,,,,,,,,,,,,0.0
76,24-Jul-2019 - 04:00,24-Jul-2019 - 05:00,,,,,,,,,,,,,,,,,,,,,,,0.0
77,24-Jul-2019 - 05:00,24-Jul-2019 - 06:00,,,,,,,,,,,,,,,,,,,,,,,0.0
78,24-Jul-2019 - 06:00,24-Jul-2019 - 07:00,,,,,,,,,,,,,,,,,,,,,,,0.0
79,24-Jul-2019 - 07:00,24-Jul-2019 - 08:00,,,,,,,,,,,,,,,,,,,,,,,0.0
80,24-Jul-2019 - 08:00,24-Jul-2019 - 09:00,,,,,,,,,,,,,,,,,,,,,,,0.0
81,24-Jul-2019 - 09:00,24-Jul-2019 - 10:00,,,,,,,,,,,,,,,,,,,,,,,0.0
82,24-Jul-2019 - 10:00,24-Jul-2019 - 11:00,,,,,,,,,,,,,,,,,,,,,,,0.0
83,24-Jul-2019 - 11:00,24-Jul-2019 - 12:00,,,,,,,,,,,,,,,,,,,,,,,0.0
